,adult,id,original_language,popularity,revenue,runtime,status,video,vote_average,vote_count,genreset,prod_comp,prod_countries,status_int,lang_int
10,0,1408,en,7.284477,10017322.0,119.0,Released,0,5.7,137.0,"['Action', 'Adventure']","['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Carolco Pictures']","['France', 'Germany', 'Italy', 'United States of America']",1,13
11,0,524,en,10.137389,116112375.0,178.0,Released,0,7.8,1343.0,"['Drama', 'Crime']","['Universal Pictures', 'Légende Entreprises', 'Syalis DA', 'De Fina-Cappa']","['France', 'United States of America']",1,13
12,0,4584,en,10.673167,135000000.0,136.0,Released,0,7.2,364.0,"['Drama', 'Romance']","['Columbia Pictures Corporation', 'Mirage Enterprises']","['United Kingdom', 'United States of America']",1,13
13,0,5,en,9.026586,4300000.0,98.0,Released,0,6.5,539.0,"['Crime', 'Comedy']","['Miramax Films', 'A Band Apart']",['United States of America'],1,13
14,0,9273,en,8.205448,212385533.0,90.0,Released,0,6.1,1128.0,"['Crime', 'Comedy', 'Adventure']","['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",['United States of America'],1,13
15,0,11517,en,7.337906,35431113.0,103.0,Released,0,5.4,224.0,"['Action', 'Comedy', 'Crime']",['Columbia Pictures'],['United States of America'],1,13
16,0,8012,en,12.669608,115101622.0,105.0,Released,0,6.4,305.0,"['Comedy', 'Thriller', 'Crime']","['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],1,13
17,0,9691,en,11.065939,30303072.0,132.0,Released,0,6.0,394.0,"['Action', 'Adventure', 'Crime', 'Thriller']","['Silver Pictures', 'Canal+', 'Warner Bros.', 'Dino De Laurentiis Company', 'Donner/Shuler-Donner Productions', 'Evansgideon/Lazar']","['France', 'United States of America']",1,13
18,0,451,en,10.332025,49800000.0,112.0,Released,0,7.1,365.0,"['Drama', 'Romance']","['United Artists', 'Intial Productions']",['United States of America'],1,13
19,0,9263,en,8.681325,27400000.0,100.0,Released,0,6.6,91.0,"['Comedy', 'Drama', 'Family']",['New Line Cinema'],['United States of America'],1,13
20,0,902,fr,9.822423,1738611.0,108.0,Released,0,7.6,308.0,"['Fantasy', 'Science Fiction', 'Adventure']","['Procirep', 'Constellation Productions', 'France 3 Cinéma', 'Claudie Ossard Productions', 'Eurimages', 'MEDIA Programme of the European Union', 'Cofimage 5', 'Televisión Española (TVE)', 'Tele München Fernseh Produktionsgesellschaft (TMG)', ""Club d'Investissement Média"", 'Canal+ España', 'Elías Querejeta Producciones Cinematográficas S.L.', 'Centre National de la Cinématographie (CNC)', 'Victoires Productions', 'Constellation', 'Lumière Pictures', 'Canal+', 'Studio Image', 'Cofimage 4', 'Ossane', 'Phoenix Images']","['France', 'Germany', 'Spain']",1,17
21,0,9909,en,9.481338,180000000.0,99.0,Released,0,6.4,249.0,"['Drama', 'Crime']","['Hollywood Pictures', 'Via Rosa Productions', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America'],1,13
22,0,63,en,12.297305,168840000.0,129.0,Released,0,7.4,2470.0,"['Science Fiction', 'Thriller', 'Mystery']","['Universal Pictures', 'Atlas Entertainment', 'Classico']",['United States of America'],1,13
23,0,9598,en,14.404764,254134910.0,89.0,Released,0,6.0,756.0,"['Fantasy', 'Drama', 'Comedy', 'Family']","['Universal Pictures', 'Kennedy Miller Productions']","['Australia', 'United States of America']",1,13
24,0,687,en,6.891317,39363635.0,122.0,Released,0,7.3,350.0,['Drama'],"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']","['United States of America', 'United Kingdom']",1,13
25,0,34615,en,0.894647,676525.0,106.0,Released,0,6.7,13.0,['Drama'],"['Miramax', 'Distant Horizon', 'Alpine Pty Limited']",['South Africa'],1,13
26,0,9312,en,10.870138,122195920.0,101.0,Released,0,5.4,452.0,"['Action', 'Fantasy']","['New Line Cinema', 'Threshold Entertainment']",['United States of America'],1,13
27,0,577,en,10.448481,21284514.0,106.0,Released,0,6.7,177.0,"['Fantasy', 'Drama', 'Comedy', 'Thriller']","['The Rank Organisation', 'Columbia Pictures Corporation']",['United States of America'],1,13
28,0,11861,en,4.485958,23574130.0,116.0,Released,0,6.5,38.0,"['Drama', 'Romance']","['Universal Pictures', 'Amblin Entertainment']",['United States of America'],1,13
29,0,807,en,18.45743,327311859.0,127.0,Released,0,8.1,5915.0,"['Crime', 'Mystery', 'Thriller']","['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",['United States of America'],1,13
30,0,10530,en,13.280069,346079773.0,81.0,Released,0,6.7,1509.0,"['Adventure', 'Animation', 'Drama', 'Family']","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],1,13
31,0,629,en,16.302466,23341568.0,106.0,Released,0,8.1,3334.0,"['Drama', 'Crime', 'Thriller']","['Blue Parrot Productions', 'Bad Hat Harry Productions']",['United States of America'],1,13
32,0,11448,en,15.899134,6700000.0,95.0,Released,0,6.7,145.0,"['Comedy', 'Romance']","['Miramax Films', 'Magnolia Pictures']",['United States of America'],1,13
33,0,9089,en,8.416802,17519169.0,103.0,Released,0,6.3,39.0,"['Comedy', 'Drama', 'Romance']","['Paramount Pictures', 'Egg Pictures', 'PolyGram Filmed Entertainment']",['United States of America'],1,13
34,0,2054,en,7.137117,106269971.0,137.0,Released,0,6.9,115.0,"['Music', 'Drama', 'Family']","['Hollywood Pictures', 'The Charlie Mopic Company', 'PolyGram Filmed Entertainment', 'Interscope Communications']",['United States of America'],1,13
35,0,11525,en,2.49535,2409225.0,92.0,Released,0,2.8,32.0,"['Action', 'Science Fiction']",['New Line Cinema'],['United States of America'],1,13
36,0,10634,en,14.56965,28215918.0,91.0,Released,0,7.0,513.0,['Comedy'],['New Line Cinema'],['United States of America'],1,13
37,0,755,en,15.339153,25836616.0,108.0,Released,0,6.9,1644.0,"['Horror', 'Action', 'Thriller', 'Crime']","['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']",['United States of America'],1,13
38,0,11859,en,5.912223,11534477.0,91.0,Released,0,4.1,54.0,"['Action', 'Thriller', 'Romance']","['Silver Pictures', 'Warner Bros.']",['United States of America'],1,13
39,0,28387,en,3.367276,718490.0,96.0,Released,0,7.0,36.0,"['Comedy', 'Drama', 'Romance']","['Castleberg Productions', 'Sandollar Productions']",['United States of America'],1,13
40,0,20927,en,10.412194,19030691.0,87.0,Released,0,5.1,27.0,"['Drama', 'Romance']","['New Line Cinema', 'Juno Pix']",['United States of America'],1,13
41,0,36929,en,2.936443,2042530.0,90.0,Released,0,3.9,16.0,"['Comedy', 'Family']","['Warner Bros.', 'Morgan Creek Productions']",['United States of America'],1,13
42,0,9102,en,12.758848,5781885.0,108.0,Released,0,6.1,154.0,"['Horror', 'Science Fiction']","['The Movie Network (TMN)', 'Allegro Films', 'Fuji Eight Company Ltd.', 'Fries Film Group', 'Super Ecran', 'Triumph Films']","['Canada', 'Japan', 'United States of America']",1,13
43,0,400,en,4.486179,529766.0,116.0,Released,0,6.7,87.0,"['Drama', 'Crime']",['Miramax Films'],['United States of America'],1,13
44,0,10534,en,9.568604,10300000.0,129.0,Released,0,6.3,86.0,"['Action', 'Drama']","['Hollywood Pictures', 'Largo Entertainment', 'Scott Free Productions']",['United States of America'],1,13
45,0,13997,en,8.963037,32.0,87.0,Released,0,6.0,124.0,['Comedy'],['Paramount Pictures'],['United States of America'],1,13
46,0,2086,en,6.848591,8175346.0,90.0,Released,0,6.1,190.0,"['Crime', 'Drama', 'Thriller']",['Paramount Pictures'],['United States of America'],1,13
47,0,9095,en,12.866139,12379402.0,104.0,Released,0,5.7,77.0,"['Drama', 'Horror', 'Thriller', 'Romance']","['TriStar Pictures', 'NFH Productions']",['United States of America'],1,13
48,0,12158,en,9.071127,19800000.0,100.0,Released,0,4.5,113.0,"['Comedy', 'Horror', 'Romance']",['Paramount Pictures'],['United States of America'],1,13
49,0,9208,en,14.957626,150270147.0,108.0,Released,0,5.7,459.0,"['Action', 'Adventure', 'Drama', 'Thriller']","['Twentieth Century Fox Film Corporation', 'WCG Entertainment Productions', 'Mark Gordon Productions']",['United States of America'],1,13
50,0,13685,en,6.904831,560069.0,91.0,Released,0,6.8,285.0,"['Comedy', 'Crime', 'Drama']","['Gracie Films', 'Columbia Pictures Corporation']",['United States of America'],1,13
51,0,9614,en,9.592265,41205099.0,92.0,Released,0,6.5,767.0,['Comedy'],"['Universal Pictures', 'Brillstein-Grey Entertainment', 'Robert Simonds Productions']",['United States of America'],1,13
52,0,688,en,5.951077,182016617.0,135.0,Released,0,7.3,397.0,"['Drama', 'Romance']","['Amblin Entertainment', 'Malpaso Productions', 'Warner Bros.']",['United States of America'],1,13
53,0,10874,en,6.902423,34327391.0,100.0,Released,0,6.5,93.0,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']","['Walt Disney Pictures', 'Jim Henson Productions', 'Jim Henson Company, The']",['United States of America'],1,13
54,0,197,en,20.755149,210000000.0,177.0,Released,0,7.7,3404.0,"['Action', 'Drama', 'History', 'War']","['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']",['United States of America'],1,13
55,0,103,en,14.092713,28262574.0,114.0,Released,0,8.1,2632.0,"['Crime', 'Drama']","['Columbia Pictures Corporation', 'Italo/Judeo Productions', 'Bill/Phillips']",['United States of America'],1,13
56,0,33542,cn,12.314278,32392047.0,91.0,Released,0,6.5,245.0,"['Crime', 'Action', 'Comedy', 'Thriller']","['New Line Cinema', 'Golden Harvest Company']",['Hong Kong'],1,8
57,0,51352,en,0.243986,1.0,117.0,Released,0,7.3,4.0,"['Documentary', 'Drama', 'Foreign']",[],"['United Kingdom', 'United States of America', 'Netherlands']",1,13
58,0,78406,en,1.522412,6278139.0,113.0,Released,0,5.1,7.0,"['Comedy', 'Drama']",['Savoy Pictures'],['United States of America'],1,13
59,0,11066,en,6.506983,70100000.0,117.0,Released,0,5.4,139.0,"['Comedy', 'Romance']",['Paramount Pictures'],['United States of America'],1,13
60,0,2074,en,5.579088,14702438.0,92.0,Released,0,6.3,66.0,"['Comedy', 'Romance']",['Miramax Films'],['United States of America'],1,13
61,0,11863,en,11.418917,9851610.0,95.0,Released,0,5.1,45.0,"['Action', 'Thriller', 'Mystery', 'Romance']",['Paramount Pictures'],['United States of America'],1,13
62,0,5757,en,0.540436,209935.0,86.0,Released,0,3.8,2.0,['Comedy'],[],['United States of America'],1,13
63,0,11000,en,6.49968,185260553.0,117.0,Released,0,6.7,303.0,['Comedy'],['United Artists'],['United States of America'],1,13
64,0,9737,en,9.262184,141407024.0,118.0,Released,0,6.5,1729.0,"['Action', 'Comedy', 'Crime', 'Thriller']","['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America'],1,13
65,0,22279,en,0.922958,851545.0,113.0,Released,0,6.0,11.0,"['Romance', 'Drama', 'Comedy']","['Fine Line Features', 'BBC', 'British Screen Productions', 'Portman Productions']",['United Kingdom'],1,13
66,0,568,en,18.761467,355237933.0,140.0,Released,0,7.3,1637.0,['Drama'],"['Imagine Entertainment', 'Universal Pictures']",['United States of America'],1,13
67,0,11780,en,10.193549,31596911.0,139.0,Released,0,6.5,151.0,['Adventure'],"['United Artists', 'Talisman Productions']","['United Kingdom', 'United States of America']",1,13
68,0,414,en,13.321354,336529144.0,121.0,Released,0,5.2,1529.0,"['Action', 'Crime', 'Fantasy']","['Warner Bros.', 'Polygram Filmed Entertainment']","['United Kingdom', 'United States of America']",1,13
69,0,5894,en,11.528147,1275000.0,83.0,Released,0,6.8,28.0,['Comedy'],"['Miramax Films', 'InterAL']",['United States of America'],1,13
70,0,1775,en,5.391556,178104.0,91.0,Released,0,5.9,57.0,"['Action', 'Comedy']",['PolyGram Filmed Entertainment'],"['Canada', 'United States of America']",1,13
71,0,8839,en,12.812539,287928194.0,100.0,Released,0,6.0,1045.0,"['Fantasy', 'Comedy', 'Family']","['Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company']",['United States of America'],1,13
72,0,20649,en,4.558992,13071518.0,128.0,Released,0,6.8,69.0,"['Mystery', 'Crime', 'Drama']","['Universal Pictures', '40 Acres & A Mule Filmworks']",['United States of America'],1,13
73,0,10329,en,7.260574,152022101.0,109.0,Released,0,5.0,214.0,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']","['Paramount Pictures', 'Kennedy/Marshall Company, The']",['United States of America'],1,13
74,0,8963,en,8.657365,157387195.0,116.0,Released,0,7.0,508.0,"['Action', 'Thriller', 'Drama']","['Hollywood Pictures', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America'],1,13
75,0,26564,en,3.620388,3174695.0,119.0,Released,0,7.6,71.0,['Documentary'],['Superior Pictures'],['United States of America'],1,13
76,0,8068,en,6.950458,25405445.0,104.0,Released,0,6.8,898.0,"['Thriller', 'Action', 'Crime']","['Columbia Pictures', 'Los Hooligans Productions']",['United States of America'],1,13
77,0,8512,en,4.646132,16140822.0,102.0,Released,0,6.3,88.0,"['Drama', 'Mystery', 'Thriller']","['TriStar Pictures', 'Mundy Lane Entertainment']",['United States of America'],1,13
78,0,1572,en,15.138855,366101666.0,128.0,Released,0,6.9,2094.0,"['Action', 'Thriller']","['Twentieth Century Fox Film Corporation', 'Cinergi Pictures Entertainment']",['United States of America'],1,13
79,0,6520,en,15.178338,127600435.0,134.0,Released,0,5.9,319.0,"['Action', 'Adventure', 'Drama', 'Romance']","['Columbia Pictures Corporation', 'First Knight Productions']",['United States of America'],1,13
80,0,10428,en,14.810519,7563728.0,107.0,Released,0,6.2,406.0,"['Action', 'Crime', 'Thriller', 'Drama']","['United Artists', 'Suftley']",['United States of America'],1,13
81,0,9886,en,11.715868,19075720.0,97.0,Released,0,5.5,380.0,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']","['TriStar Pictures', 'Alliance Communications Corporation']","['Canada', 'United States of America']",1,13
82,0,9482,en,8.184815,113493481.0,96.0,Released,0,5.4,643.0,['Science Fiction'],"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['United States of America'],1,13
83,0,19326,en,3.676921,17014653.0,88.0,Released,0,4.0,34.0,"['Comedy', 'Drama']",['TriStar Pictures'],['United States of America'],1,13
84,0,9344,en,4.877872,7412216.0,91.0,Released,0,6.8,280.0,"['Drama', 'Crime']",['Miramax Films'],['United States of America'],1,13
85,0,9071,en,10.058329,1148752.0,89.0,Released,0,7.2,64.0,"['Drama', 'Comedy']","['JDI productions', 'Lemon Sky Productions']",['United States of America'],1,13
86,0,47608,en,2.624771,15453274.0,95.0,Released,0,5.5,27.0,"['Drama', 'Family', 'Romance']",['Touchstone Pictures'],['United States of America'],1,13
87,0,2293,en,8.25547,2122561.0,94.0,Released,0,6.8,400.0,"['Romance', 'Comedy']","['Universal Pictures', 'Gramercy Pictures', 'Alphaville Films', 'View Askew Productions']",['United States of America'],1,13
88,0,9070,en,7.024227,66000000.0,92.0,Released,0,5.2,153.0,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']","['Twentieth Century Fox Film Corporation', 'Saban Entertainment', 'Toei Company']","['Japan', 'United States of America']",1,13
89,0,48787,en,2.466066,1.0,95.0,Released,0,6.4,36.0,"['Thriller', 'Foreign']","['Comet Film Produktion GmbH', 'Avrora Media', 'Cobblestone Pictures']","['Germany', 'Russia', 'United Kingdom', 'United States of America']",1,13
90,0,1642,en,13.304342,110627965.0,114.0,Released,0,5.6,359.0,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",['Columbia Pictures'],['United States of America'],1,13
91,0,11472,en,8.482834,69660733.0,103.0,Released,0,5.5,171.0,['Comedy'],"['Twentieth Century Fox Film Corporation', '1492 Pictures']",['United States of America'],1,13
92,0,36196,en,1.165039,472370.0,94.0,Released,0,5.8,14.0,['Comedy'],['Party Productions'],['United States of America'],1,13
93,0,11980,en,10.187623,16.0,98.0,Released,0,6.4,139.0,"['Fantasy', 'Horror', 'Thriller']",['Dimension Films'],['United States of America'],1,13
94,0,10533,en,6.752119,10382407.0,135.0,Released,0,5.5,111.0,"['Drama', 'History', 'Romance']","['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['United States of America'],1,13
95,0,10802,en,17.502375,20350754.0,128.0,Released,0,4.9,261.0,['Drama'],"['United Artists', 'Le Studio Canal+', 'Carolco Pictures']","['France', 'United States of America']",1,13
96,0,10149,en,5.552946,8349430.0,112.0,Released,0,7.2,115.0,"['Comedy', 'Drama']",['Miramax Films'],"['Germany', 'Japan', 'United States of America']",1,13
97,0,18402,en,3.743212,50892160.0,106.0,Released,0,5.7,60.0,['Comedy'],"['Spring Creek Productions', 'Warner Bros.', 'Hawn / Sylbert Movie Company']",['United States of America'],1,13
98,0,9348,en,13.492845,113374103.0,108.0,Released,0,5.5,457.0,"['Science Fiction', 'Horror', 'Action']",['Metro-Goldwyn-Mayer (MGM)'],['United States of America'],1,13
99,0,281,en,11.223055,7959291.0,145.0,Released,0,6.8,334.0,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",['Lightstorm Entertainment'],['United States of America'],1,13
100,0,79593,en,1.820419,5780000.0,99.0,Released,0,4.6,9.0,['Thriller'],"['Hollywood Pictures', 'PolyGram Filmed Entertainment', 'Interscope Communications']",['United States of America'],1,13
101,0,47939,en,11.002046,7025496.0,115.0,Released,0,6.1,18.0,"['Drama', 'Fantasy']",['Savoy Pictures'],['United States of America'],1,13
102,0,36834,en,4.546552,339889.0,111.0,Released,0,6.5,112.0,"['Drama', 'Romance']","['Société Française de Production (SFP)', 'FIT Productions', 'Portman Productions']","['France', 'Belgium', 'United Kingdom']",1,13
103,0,9090,en,7.653446,47774193.0,105.0,Released,0,6.3,117.0,['Comedy'],"['Universal Pictures', 'Amblin Entertainment']",['United States of America'],1,13
104,0,3512,en,7.490247,104324083.0,100.0,Released,0,5.6,217.0,"['Action', 'Thriller']","['Regency Enterprises', 'Warner Bros.', 'Seagal/Nasso Productions', 'Victor Company of Japan (JVC)', 'Cutting Edge Films']",['United States of America'],1,13
105,0,9560,en,9.715639,50012507.0,103.0,Released,0,6.5,168.0,"['Drama', 'Romance']","['Twentieth Century Fox Film Corporation', 'Zucker Brothers Productions']",['United States of America'],1,13
106,0,9804,en,16.885184,264218220.0,135.0,Released,0,5.9,1017.0,"['Adventure', 'Action']","['Universal Pictures', 'Gordon Company', 'Davis Entertainment', 'Licht/Mueller Film Corporation']",['United States of America'],1,13
107,0,50797,ru,2.486073,2616503.0,135.0,Released,0,6.7,35.0,['Drama'],"['Canal+', 'Studio Trite', 'Caméra One']","['France', 'Russia']",1,36
108,0,19155,en,3.525649,763847.0,113.0,Released,0,7.7,45.0,"['Drama', 'War']","['PolyGram Audiovisuel', 'British Screen Productions']","['United Kingdom', 'Macedonia', 'France']",1,13
109,0,76,en,11.304979,5535405.0,105.0,Released,0,7.7,984.0,"['Drama', 'Romance']","['Detour Film Production', 'Warner Bros.']","['Austria', 'Switzerland', 'United States of America']",1,13
110,0,11017,en,6.638116,26488734.0,89.0,Released,0,6.2,464.0,['Comedy'],['Jack Giarraputo Productions'],['United States of America'],1,13
111,0,9382,en,3.030309,23450000.0,115.0,Released,0,6.3,48.0,"['Comedy', 'Drama']","['Regency Enterprises', 'Alcor Films', 'Canal+', 'New Regency Pictures', 'Hera Productions']","['France', 'United States of America']",1,13
112,0,2292,en,10.513367,3151130.0,92.0,Released,0,7.4,769.0,['Comedy'],"['Miramax Films', 'View Askew Productions']",['United States of America'],1,13
113,0,1909,en,7.438934,22200000.0,97.0,Released,0,6.3,184.0,"['Romance', 'Drama', 'Comedy']","['New Line Cinema', 'American Zoetrope']",['United States of America'],1,13
114,0,8984,en,11.812244,214015089.0,123.0,Released,0,5.9,217.0,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']","['Warner Bros.', 'Baltimore Pictures']",['United States of America'],1,13
115,0,8467,en,9.844558,247275374.0,107.0,Released,0,6.5,1894.0,['Comedy'],"['New Line Cinema', 'Motion Picture Corporation of America (MPCA)']",['United States of America'],1,13
116,0,10451,zh,4.860016,7294403.0,123.0,Released,0,7.5,76.0,"['Comedy', 'Drama', 'Romance']","['Ang Lee Productions', 'Good Machine', 'Central Motion Pictures']","['Taiwan', 'United States of America']",1,46
117,0,18395,en,4.322726,6841570.0,113.0,Released,0,4.3,28.0,"['Thriller', 'Comedy', 'Crime', 'Romance']",['Savoy Pictures'],['United States of America'],1,13
118,0,522,en,11.720358,5887457.0,127.0,Released,0,7.3,639.0,"['Comedy', 'Drama', 'History']",['Touchstone Pictures'],['United States of America'],1,13
119,0,15789,en,10.177977,35348597.0,78.0,Released,0,6.7,404.0,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",['Walt Disney Pictures'],['United States of America'],1,13
120,0,27303,en,8.182165,12201255.0,103.0,Released,0,5.0,24.0,"['Drama', 'Thriller']",['TriStar Pictures'],['United States of America'],1,13
121,0,47867,en,0.398924,3992809.0,90.0,Released,0,3.0,4.0,"['Drama', 'Family', 'Fantasy']",[],['United States of America'],1,13
122,0,14275,en,9.47666,7830611.0,171.0,Released,0,7.7,91.0,['Documentary'],"['Fine Line Features', 'Kartemquin Films']",['United States of America'],1,13
123,0,1024,en,9.438042,3049135.0,99.0,Released,0,6.9,299.0,"['Drama', 'Fantasy']","['WingNut Films', 'Miramax Films', 'New Zealand Film Commission', 'Fontana Productions']",['New Zealand'],1,13
124,0,17207,en,2.688562,26325256.0,113.0,Released,0,6.0,17.0,"['Comedy', 'Family']","['Caravan Pictures', 'Hollywood Pictures']",[],1,13
125,0,14819,en,9.546707,17689177.0,100.0,Released,0,6.0,97.0,"['Comedy', 'Family', 'Drama']","['Walt Disney Pictures', 'Caravan Pictures']",['United States of America'],1,13
126,0,628,en,11.970205,223664608.0,123.0,Released,0,7.2,1558.0,"['Horror', 'Romance']",['Geffen Pictures'],['United States of America'],1,13
127,0,87729,en,1.596058,2474000.0,139.0,Released,0,5.2,10.0,"['Drama', 'Romance']","['Merchant Ivory Productions', 'Touchstone Pictures']",['United States of America'],1,13
128,0,6280,en,6.710215,37000000.0,109.0,Released,0,4.7,381.0,"['Comedy', 'Family', 'Romance']","['Universal Pictures', 'Northern Lights Entertainment']",['United States of America'],1,13
129,0,11,en,42.149697,775398007.0,121.0,Released,0,8.1,6778.0,"['Adventure', 'Action', 'Science Fiction']","['Lucasfilm', 'Twentieth Century Fox Film Corporation']",['United States of America'],1,13
130,0,18183,es,4.126083,21665468.0,105.0,Released,0,6.6,70.0,"['Drama', 'Romance']","['Aviacsa', 'Cinevista']",['Mexico'],1,14
131,0,4476,en,12.199047,160638883.0,133.0,Released,0,7.2,636.0,"['Adventure', 'Drama', 'Romance', 'War']","['Bedford Falls Productions', 'TriStar Pictures', 'Pangaea']",['United States of America'],1,13
132,0,28313,en,7.698526,7603766.0,106.0,Released,0,6.4,28.0,['Drama'],['Paramount Pictures'],['United States of America'],1,13
133,0,3036,en,14.287753,112006296.0,123.0,Released,0,6.1,272.0,"['Drama', 'Horror', 'Science Fiction', 'Romance']","['American Zoetrope', 'TriStar Pictures']","['United Kingdom', 'Japan', 'United States of America']",1,13
134,0,8986,en,3.770115,18137661.0,108.0,Released,0,5.6,49.0,"['Comedy', 'Romance']","['Paramount Pictures', 'The Kennedy/Marshall Company']",['United States of America'],1,13
135,0,10510,en,5.831622,46264384.0,114.0,Released,0,6.4,199.0,"['Fantasy', 'Drama', 'Family']",['Twentieth Century Fox Film Corporation'],['United States of America'],1,13
136,0,17402,en,1.137266,5.0,95.0,Released,0,5.6,7.0,"['Comedy', 'Romance']",['Hollywood Pictures'],['United States of America'],1,13
137,0,8438,en,9.518564,17381942.0,122.0,Released,0,6.9,140.0,"['Crime', 'Drama']","['Wolper Organization', 'Warner Bros.']","['France', 'United States of America']",1,13
138,0,1945,en,5.930957,106683817.0,112.0,Released,0,6.1,128.0,"['Drama', 'Thriller']","['Twentieth Century Fox Film Corporation', 'Egg Pictures', 'PolyGram Filmed Entertainment']",['United States of America'],1,13
139,0,241,en,11.226856,50282766.0,119.0,Released,0,6.9,927.0,"['Crime', 'Thriller', 'Drama']","['Regency Enterprises', 'Alcor Films', 'Ixtlan', 'Warner Bros.', 'New Regency Pictures', 'J D Productions']",['United States of America'],1,13
140,0,527,en,4.025276,2201126.0,99.0,Released,0,7.6,106.0,['Drama'],"['Avalon Studios', 'New Zealand Film Commission', 'New Zealand On Air']",['New Zealand'],1,13
141,0,6950,en,13.676444,189859560.0,127.0,Released,0,6.4,522.0,"['Action', 'Drama', 'Science Fiction', 'Thriller']","['Kopelson Entertainment', 'Punch Productions', 'Warner Bros.', 'Arnold Kopelson Productions']",['United States of America'],1,13
142,0,101,fr,20.477329,45284974.0,110.0,Released,0,8.2,4293.0,"['Thriller', 'Crime', 'Drama']","['Columbia Pictures', 'Gaumont']","['France', 'United States of America']",1,17
143,0,63020,en,1.433544,2832826.0,113.0,Released,0,6.6,9.0,"['Comedy', 'Drama', 'Romance']","['Samuel Goldwyn Company, The']",['United States of America'],1,13
144,0,680,en,140.950236,213928762.0,154.0,Released,0,8.3,8670.0,"['Thriller', 'Crime']","['Miramax Films', 'A Band Apart', 'Jersey Films']",['United States of America'],1,13
145,0,41478,en,7.160149,6834525.0,124.0,Released,0,6.4,6.0,['Drama'],"['Polygram Filmed Entertainment', 'Gramercy Pictures (I)', 'MVP Films']","['United Kingdom', 'United States of America']",1,13
146,0,25296,zh,1.638622,152322.0,105.0,Released,0,6.1,9.0,"['Comedy', 'Drama']",['Ang Lee Productions'],['Taiwan'],1,46
147,0,40156,en,1.881932,4176932.0,98.0,Released,0,6.4,32.0,"['Drama', 'Romance']","['BBC Films', 'PolyGram Filmed Entertainment', 'Miramax']",['United Kingdom'],1,13
